Degree,HSV_Hue Mean,Hue Mean,HSV_Hue Std,B Mean,A Mean,Hue Std,Homogeneity,Contrast,Correlation,B Std,Skewness A,Skewness B,L Std,Value Std,Kurtosis A,Saturation Std,Saturation Mean,Kurtosis B
2,0.04,0.56,0.15,0.79,0.65,0.13,0.72,0.09,0.96,0.1,-0.72,-2.87,0.13,0.13,6.93,0.1,0.65,12.22
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.53,0.48,0.16,0.57,0.37,0.15,0.63,0.11,0.97,0.16,0.53,-0.2,0.18,0.18,6.75,0.21,0.54,2.57
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.84,0.4,0.35,0.51,0.58,0.09,0.63,0.29,0.94,0.11,-0.26,0.27,0.11,0.1,2.12,0.12,0.5,0.95
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.6,0.49,0.11,0.55,0.42,0.13,0.64,0.05,0.98,0.15,0.35,0.13,0.14,0.13,2.7,0.13,0.41,1.28
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.06,0.55,0.09,0.8,0.47,0.23,0.72,0.04,0.98,0.11,0.28,-1.49,0.15,0.14,5.32,0.15,0.56,4.42
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.03,0.44,0.02,0.49,0.48,0.14,0.71,0.05,0.98,0.16,-0.25,-0.04,0.12,0.12,0.98,0.12,0.36,2.63
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.06,0.47,0.19,0.53,0.37,0.13,0.74,0.07,0.98,0.11,0.5,0.35,0.16,0.16,1.52,0.15,0.55,0.95
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.1,0.37,0.27,0.25,0.45,0.18,0.74,0.6,0.9,0.21,-0.52,1.81,0.18,0.21,14.59,0.16,0.57,38.76
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.05,0.45,0.04,0.44,0.53,0.25,0.87,0.07,0.97,0.21,0.15,0.75,0.25,0.23,2.2,0.23,0.49,10.87
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.08,0.36,0.24,0.66,0.68,0.15,0.81,0.22,0.86,0.12,-0.97,-1.25,0.15,0.15,26.47,0.1,0.52,8.19
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.41,0.45,0.47,0.55,0.56,0.18,0.57,0.07,0.98,0.15,-0.14,0.09,0.09,0.09,6.65,0.12,0.52,2.23
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.08,0.68,0.07,0.76,0.57,0.12,0.69,0.28,0.88,0.15,-0.26,-1.89,0.15,0.12,17.82,0.17,0.85,65.8
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.47,0.01,0.52,0.46,0.15,0.64,0.06,0.97,0.17,-0.09,-0.1,0.12,0.12,0.91,0.12,0.37,2.23
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.03,0.52,0.02,0.34,0.35,0.15,0.76,0.08,0.96,0.12,0.55,0.77,0.17,0.16,2.21,0.14,0.32,1.41
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.06,0.42,0.02,0.66,0.67,0.15,0.89,0.08,0.96,0.09,-0.25,-0.15,0.16,0.14,2.29,0.13,0.62,1.12
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.24,0.43,0.41,0.59,0.69,0.15,0.89,0.06,0.97,0.11,-0.86,-0.26,0.12,0.11,2.24,0.14,0.54,1.46
2,0.62,0.34,0.47,0.69,0.59,0.16,0.65,0.43,0.88,0.14,-0.11,-0.23,0.18,0.17,15.91,0.16,0.58,0.92
2,0.62,0.34,0.47,0.69,0.59,0.16,0.65,0.43,0.88,0.14,-0.11,-0.23,0.18,0.17,15.91,0.16,0.58,0.92
2,0.62,0.34,0.47,0.69,0.59,0.16,0.65,0.43,0.88,0.14,-0.11,-0.23,0.18,0.17,15.91,0.16,0.58,0.92
